Pmid,Age,Sex,Condition,Samplesize,Eligibility,Unnamed: 6
25271396,['Between 2006 and 2011'],['female'],['colorectal cancer'],193 patients,"['Eligible population: Patients diagnosed with Stage I-III colon or rectum cancer, completed surgical treatment within prior five years, not Stage 0 (mucosa only) nor Stage IV (other sites), no history of other cancers except non-melanoma skin cancer, English literate, and no significant medical or psychiatric conditions affecting reading, writing, or processing information.', 'low education, white race']",
25262164,['<76 years'],['female'],['non-small cell lung cancer'],60 patients,"['The eligibility criteria for the population under study include postsurgical patients aged less than 76, ECOG performance status 0-1, adequate bone marrow function, liver function, and renal function, primary NSCLC histology (including combined-type small cell carcinoma), and pathological stage IB with tumor sizes larger than 5 cm or severe vessel invasion, stages II-IV (TNM staging system version 6). Additionally, stage IIIB and IV cases with malignant pleural effusion, micrometastasis to mediastinal lymph nodes or intrapulmonary metastasis identified after thoracotomy were included. Non-curative resection cases were included but exploratory thoracotomies or cases with macroscopic residual tumors were excluded.', '60']",
25253443,['45-59 years'],"['gender', 'female']",,958 patients,"['The eligibility of the population under study is defined by socioeconomic status, as indicated by their Index of Multiple Deprivation (IMD) scores. Three deprived practices with high IMD scores (Liverpool A - 77.3, Liverpool B - 37.6, Manchester - 43.6) and one affluent practice with a low score (Stockport - 10.8) were recruited for the study.', '45-59.5 years, male and female, no direct experience with colorectal cancer screening, no severe cognitive impairments, not vulnerable (no recent diagnosis of significant illness), not under colorectal cancer surveillance, speak English', 'Eligible patients were randomized to intervention or control groups, with all members of a household allocated to the same study group to limit contamination.', '60', '20%', '818', 'The eligibility of the population under study includes all individuals returning a questionnaire with primary or secondary outcome data.']",
25252602,['≥18 years'],['female'],['resectable adenocarcinoma of the pancreatic head'],127 patients,"['The eligibility of the population under study includes patients with resectable, histology or cytology proven adenocarcinoma of the pancreatic head.']",
25242594,['≥35 years'],['female'],,"['8801 patients', '15,357']","['The eligibility criteria for the population under study include being female with an intact uterus and no history of endometrial cancer. Age, race, and geographic region were used as matching factors in most studies.', '15,357 control subjects', 'The eligibility of the population under study includes women with incident, histologically confirmed diagnoses of endometrial cancer (EC). The specific histology codes or summary descriptions included in the analysis are: endometrioid (codes 8380–8383), adenocarcinoma tubular (codes 8210 and 8211), papillary adenocarcinoma (codes 8260, 8262, and 8263), adenocarcinoma with squamous metaplasia (code 8570), mucinous adenocarcinoma (codes 8480 and 8481), adenocarcinoma not otherwise specified [(NOS) code 8140], clear cell (code 8310), serous (code 8441), papillary serous (codes 8460 and 8461), squamous cell (codes 8050, 8070–8072), adenosquamous (code 8560), small-cell carcinoma (code 8041), and mixed-cell adenocarcinoma (code 8323). These histologic subtypes were classified into the broad Type I and Type II categories based on a previous study.', 'The eligibility criteria for the population under study include age at diagnosis or interview (continuous), race (White, Black, Asian, Other), body mass index [BMI (<25kg/m2, 25–30 kg/m2, ≥30 kg/m2), age at menarche (<11, 11–12, 13–14, ≥15), duration of OC use (never use, <5, 5–9, ≥10 years, unknown duration), a combination of parity and age at last birth (nulliparous, 1–2 births and <25, 1–2 births and 25–29, 1–2 births and 30–34, 1–2 births and ≥35, ≥3 births and <25, ≥3 births and 25–29, ≥3 births and 30–34, ≥3 births and ≥35), menopausal status (premenopausal, postmenopausal), MHT use (never, ever), diabetes (never, ever), and smoking (never, former, current).']",
25232809,"['50-54, 55-64, 65-74, ≥75 years']",['men'],,35533 patients,"['Eligible men had no prior diagnosis of prostate cancer, 4 ng/mL or less of PSA in serum, and a digital rectal examination not suspicious for cancer. Eligible men also reported no current use of anticoagulant therapy other than 175 mg/d or less of acetylsalicylic acid or 81 mg/d or less of acetylsalicylic acid with clopidogrel bisulfate, no history of hemorrhagic stroke, and normal blood pressure.', 'Men who reported a prior diagnosis of cataract at baseline were not eligible and excluded from analysis.']",
25219358,['no age information provided'],['african american vs. all other'],['metastatic castration-resistant prostate cancer'],400 patients,['400'],
25218610,['62.5 years'],['female'],['cancer pain'],19 patients,['≥18 years'],
25213161,['aged 70 years or older'],['non-japanese'],['metastatic colorectal cancer (mCRC)'],582 patients,['progressed on all standard therapies'],
25209975,['≥ 18 years'],"['gender not included in model because no significant differences between men and women on study outcomes.', 'female']",['Advanced lung cancer'],38 patients,['≥ 18 years old'],
25209353,['29-88 years'],['female'],['cancer survivors'],25 patients,"['18 years', '20-25 people']",
25194450,['70 years'],['male'],"['Prostate cancer', 'prostate cancer']",25 patients,"['Eligibility criteria: confirmed diagnosis of prostate cancer, receiving ADT but no other cancer treatment, clear of bone metastases in the hip or spine, bone mineral density T score ≥−2.5, no antiresorptive medications, no participation in resistance and/or impact training ≥2 times per week and ≥30 minutes per session, physician clearance to exercise, informed consent obtained prior to data collection.', '25 participants per group']",
25185971,['not specified'],['japanese'],"['advanced gastric cancer', 'irinotecan-naive']",80 patients,['disease progression after previous 5-fluorouracil-based therapy'],
25171662,['37-80 years'],['female'],['breast cancer'],['128 patients'],"['female BrCa survivor 1–15 years post-diagnosis, free from cancer at study entry, ≥1 lymph node removed, no medical conditions or contraindicated medications that would prohibit participation in an exercise program, body mass index ≤50kg/m2, no plans for surgery during the intervention period, no history of bilateral lymph node dissection, no weight-lifting in the previous year, stable body weight and not attempting to lose weight.', 'The eligibility criteria for participants under study include having ≥10% interlimb discrepancy in total arm volume, meeting any of the Common Toxicity Criteria Adverse Event version 3.0 for BCRL (swelling, obscuration, or pitting), or prior clinical diagnosis of BCRL confirmed by study measurements or clinician. All participants must have stable BCRL at study entry, defined as absence of receiving complete decongestive therapy, self-reporting a ≥10% change in arm volume or circumference lasting ≥1 week, having a BCRL-related infection requiring antibiotics, or experiencing a change in activities of daily living due to BCRL exacerbation.']",
